Country Code,Year,Health_Vulnerability,Urbanization_Rate,CO2_Emissions,GDP_per_Capita,Temperature anomaly,Log_GDP_per_Capita,Log_CO2_Emissions,GDPadjustedUrbanization
AFG,1995,0.748301713063324,17.8343849378999,0.0851174240746249,174.930991430166,-0.80478305,5.170091824002358,-2.3526431077629284,-5.277604508235562
ALB,1995,0.436587301398164,38.2956838868638,0.649416648053946,911.320465445326,-0.8153963,6.815991315901885,-0.41639970138698346,-2.490065750717598
DZA,1995,0.437316494995566,56.0131170977738,2.94409686257461,1466.94806760415,-0.44384322,7.291620832257254,1.083192973881215,10.120031287230418
AGO,1995,0.504004256280219,44.2110025396864,0.945540869348394,404.29481849612,0.04784298,6.004614749185703,-0.04547774348143045,12.137859556203118
ATG,1995,0.462131152933419,34.6045871837806,2.70131546143806,9034.47552907143,0.06715711,9.108913833525264,0.997433927242971,-30.802691844561345
ARG,1995,0.434264304569832,88.1853677511823,3.31576942357033,7357.6162773788,-0.15684624,8.903627188256694,1.2017010529227363,24.98246812561655
ARM,1995,0.477454119112494,66.3956964271579,1.07063137682796,443.924860857976,-0.36655375,6.097905415904587,0.07754547849337753,33.32079308114678
AUS,1995,0.215950263735946,85.2868710503009,16.8117791607854,20479.1748274233,-0.42722073,9.927212615612287,2.822674425454156,11.092654234605178
AUT,1995,0.235793039142171,65.8629352596037,8.05921735500444,30207.0674314652,-0.7017882,10.315864301181389,2.088056495547128,-12.50464494951656
AZE,1995,0.410195510367592,52.3116760253906,4.40867420964625,314.55801908334,0.081867576,5.7543425607428045,1.4858396985261155,22.925969706720487
BHS,1995,0.450361330268537,80.7448226594184,3.7006445278162,11374.6056703852,-0.11816311,9.339226488149796,1.3112055887047036,12.864433549371796
BHR,1995,0.378510679427058,88.2394796624129,27.27459790044,11900.9317778335,-0.65133256,9.384456000196561,3.3063223635107297,19.87341353902201
BGD,1995,0.733400436126598,21.661231550566,0.177641388847358,309.458680823367,-0.012628555,5.738050819485897,-1.673222643889935,-7.54953314530589
BLR,1995,0.285533024140245,68.0162734985352,5.92783027303474,1370.69991385664,-0.28416863,7.223806062683922,1.781343792745917,22.851386451510486
BEL,1995,0.284114054536174,80.3401728004321,12.0655697339134,28413.8264387368,0.07831305,10.254666345626585,2.4911843813583436,2.6297396382643115
BLZ,1995,0.455270258291817,47.4683420814088,0.635819462541514,4009.82752539849,0.009318511,8.29675286444623,-0.43723528400846146,-9.217907336680732
BEN,1995,0.615471159429337,36.8385136903681,0.0640138961224377,348.435238914394,-0.24991305,5.856318248122092,-2.6035024179690986,6.357786774772382
BTN,1995,0.711267545043198,23.9954567175851,0.585413210849123,530.103676927417,-0.27043793,6.27495725063432,-0.5184996424552767,-10.980639066888621
BOL,1995,0.547360215989719,59.391206278167,1.10151833548453,852.754034861444,-0.12336954,6.749643136919447,0.10572695044847412,19.317907072854354
BIH,1995,0.428842783358744,40.9327870219153,0.9459667495971,502.365980975339,-0.9632287,6.221317501902267,-0.045032147291771796,6.532677839591635
BWA,1995,0.611389703897788,49.6118603364468,2.22953011536953,3156.18194514079,0.67588854,8.057435119187714,0.8062660739378434,-4.504581836380659
BRA,1995,0.480315763101966,77.7144999942454,1.73140553131602,4756.75013552302,-0.21778409,8.467530174881823,0.5546925637688932,19.19443432818109
BRN,1995,0.376938839660748,68.8131879002755,19.9656587510088,26443.2564746713,-0.18959077,10.182794267191465,2.994514469882458,-8.125478890388578
BGR,1995,0.382708096433902,67.8335418701172,7.3003938702844,2259.25922555221,-0.7703503,7.723234787260384,1.9892971533340147,17.30576142995028
BFA,1995,0.762018375113272,14.8945565719465,0.0446435362379007,229.092294496817,-0.5351124,5.438480508852683,-2.906924346964935,-11.09940548399141
BDI,1995,0.639339682655101,7.16829388435013,0.0418540676087431,164.915311679326,-0.18740241,5.111477487568771,-2.9593218978417903,-15.31429156050432
KHM,1995,0.59851924264133,17.4962488002108,0.149862798781095,343.485224671585,-0.26568475,5.842051200336805,-1.8334393392364396,-12.83127776357847
CMR,1995,0.577945028834198,43.3654956418773,0.394815153574878,832.006674487689,-0.2634201,6.725041654725005,-0.9043247269889945,3.556368519245659
CAN,1995,0.251028814513195,77.6356482587498,16.2424970508299,20679.634792669,-0.4881201,9.936953024121708,2.7882465616369965,3.336838395295402
CPV,1995,0.511012188764058,49.5954717142527,0.183447180605782,1165.13832331934,0.21188498,7.061452990508463,-1.642750772220539,6.173940976708359
CAF,1995,0.705398650245332,37.4760164601754,0.0594972837936806,333.145863233895,-0.30879593,5.811577613913052,-2.666467609280431,7.475716960540051
TCD,1995,0.717069106307824,21.4898472014251,0.0208349085295322,203.964852705041,-0.5456708,5.322838514219827,-3.479107836992499,-3.2623446909879377
CHL,1995,0.371983740923361,84.4167268897386,2.87658869826571,5081.4682771561,-0.12557869,8.533552303900358,1.0600754237027932,25.18771193403351
CHN,1995,0.511987986688595,29.0403804779053,2.79351042241598,612.680277898627,-0.37722662,6.419474072490573,1.0308723542190457,-7.487544969125512
COL,1995,0.499109857889345,71.8237121859285,1.78708292233006,2583.66576349858,-0.19471025,7.857351480129603,0.5861647516060401,19.855779246106337
COM,1995,0.560814089266518,28.3468419976372,0.0825543329813733,800.623567802959,-0.19443448,6.686639130850196,-2.379959423323557,-11.049916689953285
COG,1995,0.645697507090622,56.4068153474735,0.992994626946882,769.606794842829,-0.3014606,6.647178249753532,0.0029901519832782196,17.433789793575592
COD,1995,0.771870468300019,32.4561710395319,0.0521293475781357,127.008078734668,-0.2865111,4.852093377042536,-2.7785368158769166,12.758866585086817
CRI,1995,0.471835250201981,53.5950954268308,1.40519170756986,3275.25256447416,-0.20732386,8.094455537384096,0.3472650042998184,-0.9188740534720381
CIV,1995,0.61164987783251,41.2920870145192,0.249266857234982,740.4730999133,-0.38803974,6.608638882987762,-1.3498974109006545,2.7328993222286826
HRV,1995,0.342115943403824,55.1568369839241,3.57173005370095,4929.05772183424,-0.6053744,8.503105975251001,1.2758459389061378,-3.7452436031230008
CUB,1995,0.314307131513909,74.5832290649414,2.19166193303252,2785.24442954103,-0.062990665,7.932449885430617,0.7892124992807881,21.808885276472388
CYP,1995,0.356537046910798,68.1691720632769,6.793826323324,15261.4169921875,-0.6498981,9.633148679726856,1.9174851485352842,-2.8673698704649127
CZE,1995,0.247043204367092,74.7092872936794,12.9358310481984,5865.29460556726,-0.557098,8.676978470841451,2.560773809535951,13.940154188493814
DNK,1995,0.228547843066401,85.0012191836328,11.578116063961,35321.0980773087,-0.39165494,10.472264054915977,2.4499800957320748,4.954209729221134
DJI,1995,0.76370446912452,75.4038861624412,1.701380881224,786.201866748458,-0.20411317,6.668484717112846,0.5373005775148519,36.20207057823543
DOM,1995,0.450593481279633,57.1317099454393,1.51596420691128,2109.16940728689,-0.12424246,7.65452351106091,0.4226264770899855,7.341755006753139
ECU,1995,0.535307353584544,58.218469145091,1.79497647817862,2108.00698245316,-0.27929544,7.653972491261896,0.5905475602199448,8.43443108762174
EGY,1995,0.520024078351574,42.7019009364527,1.51907565854719,916.326617700876,-0.44926396,6.8214635895380615,0.424663408094976,1.8573897205223489
SLV,1995,0.489151078724102,52.3961349506028,0.890868326318857,1548.3763038362,-0.49918732,7.34560774431307,-0.10439617376401995,5.923334678850132
GNQ,1995,0.56146919587878,38.8041524265093,2.253423986108,248.314896208855,-0.26081213,5.51871674088584,0.8168787048727163,11.948609253013206
ERI,1995,0.520032902595225,27.2435242754175,0.41179755558156,285.402184008331,-0.31147718,5.657397060784827,-0.8632298061615571,-1.1011758783380685
EST,1995,0.248645222738321,68.959092258676,14.340813317797,3134.38975345407,-0.044698715,8.05050876861036,2.6638066177979356,14.917025623181466
ETH,1995,0.802570801938972,13.8825578689575,0.0491228869046507,136.523619088963,-0.07691749,4.923795677547415,-2.8281371722649347,-6.584689872143377
FJI,1995,0.443757416681205,45.6574672941176,1.39293342314077,2466.74347815903,-0.17580397,7.811059440465624,0.338565346780393,-5.813379151771784
FIN,1995,0.206957772940182,64.8059387207031,11.5021565099583,26246.2743214462,-0.24564512,10.175317427255026,2.4434035648677632,-12.052441347304566
FRA,1995,0.297551673148982,75.0991069026347,6.41153012227111,26791.8151982369,-0.07575496,10.195889040938477,1.8596564261065196,-1.980172296080383
GAB,1995,0.499126824603002,74.9893550877512,5.04890880002279,4414.8755828572,-0.25679383,8.392961413388202,1.6211508078736925,17.27001292570256
GMB,1995,0.647620095023695,39.5666608739251,0.118404224270414,621.681391269646,0.025472322,6.434034977490401,-2.052571988965157,2.8823796199911698
GEO,1995,0.394629488180322,53.7014001838407,1.8298430005054,578.336923460866,-0.5853211,6.361884214136069,0.6096802421681574,17.791877835556924
DEU,1995,0.269475770133287,80.0465631829882,11.1470987474958,31747.2449398447,-0.43620738,10.365592725307774,2.412075954293019,1.144996392649702
GHA,1995,0.561479122334711,39.960521040618,0.232444166242265,371.537243033836,-0.4051415,5.9203370141207055,-1.4169838374143648,8.792357058797784
GRC,1995,0.284711674688127,72.0831868417364,7.97760645959209,12779.081491606,-0.58322644,9.455643104406189,2.0778911478892725,2.9527096381328306
